(Do Not Modify) Standards Elements,(Do Not Modify) Row Checksum,(Do Not Modify) Modified On,Name,Created On,Created By,Created By (Delegate),Date timestamp,Display Order,Element comments,Element Content,Element Page,Element Path,Element Reference,General requirement type,Is_Requirement,Modified By,Modified By (Delegate),Modified On,Owner,Record Created On,Standard Id,Standard Version,Status,Status Reason
5cbe4b87-80b7-ea11-a812-000d3a530d85,7GPL1j/ZE7NZCNmM6OzwWWfieAYa+owC5jj7ZHQwYY5IYkmADOjeQ6ZDWxMWSaGl7YF9XVpPHGmpGTmyXCex/A==,6/26/2020 7:43,108,6/26/2020 13:13,Vishal Mohan,,6/26/2020,108,,5.7 a) there shall exist clear information linking the supplementary documentation to the sales or delivery documents;,12,,5.7 a,2,1,Vishal Mohan,,6/26/2020 13:13,Vishal Mohan,,FSC-STD-40-004,36586,Active,Active
5ebe4b87-80b7-ea11-a812-000d3a530d85,QrEKmZaxQO0Ifwa+/l7Lqb9cusI9GxEuxUquwcyPDsG1PDnZHw7hlyP5R0meaag5yjv9X+o1AtyMAE3/IK0Fnw==,6/26/2020 7:43,109,6/26/2020 13:13,Vishal Mohan,,6/26/2020,109,,5.7 b) there is no risk that the customer will misinterpret which products are or are not FSC certified in the supplementary documentation; ,12,,5.7 b,2,1,Vishal Mohan,,6/26/2020 13:13,Vishal Mohan,,FSC-STD-40-004,36586,Active,Active
9abd4b87-80b7-ea11-a812-000d3a530d85,ywwT7ZWc1gnzp2cmht3J8LUlx+144mCjEOsjxGx2X8VKeQ3z/ZplsJIhft9yMP/e98Bsd7Q4YgoxjZMNE6JOUQ==,6/26/2020 7:43,11,6/26/2020 13:13,Vishal Mohan,,6/26/2020,11,,"c) manufacture or change the composition (e.g. mixing or adding forest-based materials to the product) or physical integrity (e.g. re-packaging, re-labelling) of products sold with FSC claims;",5,,Box 1,4,0,Vishal Mohan,,6/26/2020 13:13,Vishal Mohan,,FSC-STD-40-004,36586,Active,Active
60be4b87-80b7-ea11-a812-000d3a530d85,18ALwLn+BsibX11G+MMJrJRDkMRj2OTMdTnhZxe6CjX9xHXDeJgfjC/xn0bp9cvk5A/E4g7pQBxO2bA45y1opg==,6/26/2020 7:43,110,6/26/2020 13:13,Vishal Mohan,,6/26/2020,110,,"5.7 c) where the sales documents contain multiple products with different FSC claims, each product shall be cross-referenced to the associated FSC claim provided in the supplementary documentation.",12,,5.7 c,2,1,Vishal Mohan,,6/26/2020 13:13,Vishal Mohan,,FSC-STD-40-004,36586,Active,Active
62be4b87-80b7-ea11-a812-000d3a530d85,h78mrK+K/O1EVdNVKP7hsvsj4M4Smh3nB4MnJfpmN5zDQ9fJIVUxd+60+PsOFcKoEaKKjRxs3w30m7x+ccxKnw==,6/26/2020 7:43,111,6/26/2020 13:13,Vishal Mohan,,6/26/2020,111,CB might need to clarify why the organization is not able to include FSC claim and/or certifcation code in sales and delivery documents,"5.8) Organizations that sell custom manufactured FSC products (e.g. woodworkers, building contractors, construction companies) that do not list the FSC-certified products on the invoice as required by Clause 5.1 may issue supplementary documents to the in",12,,5.8,3,1,Vishal Mohan,,6/26/2020 13:13,Vishal Mohan,,FSC-STD-40-004,36586,Active,Active
64be4b87-80b7-ea11-a812-000d3a530d85,dt4i+P9TC/zMhFwDtWdAQglDFBQpvWT6ypUyfxK1ZPR3XsPNXYO2kmW0rfGxAhZtaPYEzO83NvHVQOTEXTV4qw==,6/26/2020 7:43,112,6/26/2020 13:13,Vishal Mohan,,6/26/2020,112,,reference information sufficient to link the service invoice(s) to the supplementary document;,13,,5.8 a,3,1,Vishal Mohan,,6/26/2020 13:13,Vishal Mohan,,FSC-STD-40-004,36586,Active,Active
66be4b87-80b7-ea11-a812-000d3a530d85,SvFtWFVhmoOI2pSjdYBUara7NrSIuebwTFfcBRCZiuq3nxn2dlS0S4xxPGxhdYrckaVbIcct6Qrwl9m+oU9X9g==,6/26/2020 7:43,113,6/26/2020 13:13,Vishal Mohan,,6/26/2020,113,,a list of the FSC-certified components used with the related quantities and FSC claims; ,13,,5.8 b,3,1,Vishal Mohan,,6/26/2020 13:13,Vishal Mohan,,FSC-STD-40-004,36586,Active,Active
68be4b87-80b7-ea11-a812-000d3a530d85,H66eskS+nGxb/V0X2lv6uGsEYdXNKJwBZGPX6BwPRi5UHSeI001yupTaPOv5dqjAEYwraMkWld3eyiAh7/Kciw==,6/26/2020 7:43,114,6/26/2020 13:13,Vishal Mohan,,6/26/2020,114,,the certificate code of the organization.,13,,5.8 c,3,1,Vishal Mohan,,6/26/2020 13:13,Vishal Mohan,,FSC-STD-40-004,36586,Active,Active
6abe4b87-80b7-ea11-a812-000d3a530d85,n40YPC+5+ox5IJNENbnh5gaxU/0K5wZ+6PtG6Kg+jCtdM03C+6YGMh32REZUX2gVoGTVmnIk5VP34whQjnB7TA==,6/26/2020 7:43,115,6/26/2020 13:13,Vishal Mohan,,6/26/2020,115,,"The organization may opt to downgrade an FSC output claim as presented in Figure A. The FSC label shall correspond to the FSC claim made on sales documents, except in the case of retailers selling finished and labelled products to end-consumers.",13,,5.9,3,1,Vishal Mohan,,6/26/2020 13:13,Vishal Mohan,,FSC-STD-40-004,36586,Active,Active
6cbe4b87-80b7-ea11-a812-000d3a530d85,zpu0ahThiXIZgSZyIytVEkEZ9+yFe9ltEdPvLbkL+Z82KFMFY+oPzm9HSeslPKSspM3hWWpz2JG/Z6tbkaupHQ==,6/26/2020 7:43,116,6/26/2020 13:13,Vishal Mohan,,6/26/2020,116,,NOTE: Products that are 100% made of reclaimed materials can only be claimed as FSC Recycled.,13,,NOTE below 5.9,4,1,Vishal Mohan,,6/26/2020 13:13,Vishal Mohan,,FSC-STD-40-004,36586,Active,Active
6ebe4b87-80b7-ea11-a812-000d3a530d85,zewfbPLO0tX5E5+D3l5ND7G63yjgWutLKeX9Apm4Kv70+V/NbO2/Y21WDK4DH31833b8RGwEhmzHFiPvg7yjOg==,6/26/2020 7:43,117,6/26/2020 13:13,Vishal Mohan,,6/26/2020,117,,FSC-STD-40-004_FigureA_EN.png,13,https://onefsc.sharepoint.com/sites/Uli/AppData/Local/Microsoft/Windows/INetCache/Content.Outlook/L3HJCRWT/FSC-STD-40-004_FigureA_EN.png ,Figure A ,3,1,Vishal Mohan,,6/26/2020 13:13,Vishal Mohan,,FSC-STD-40-004,36586,Active,Active
70be4b87-80b7-ea11-a812-000d3a530d85,yEksxH1YHWvFN6O3zZkEy/Wnas5nrxe06wPRyjmQdMF7hMiDla/PztENSrak3V4gPVA/N0vh6OJEzZXz1dwpjw==,6/26/2020 7:43,118,6/26/2020 13:13,Vishal Mohan,,6/26/2020,118,,6. Compliance with timber legality legislation ,13,,Heading 6,6,0,Vishal Mohan,,6/26/2020 13:13,Vishal Mohan,,FSC-STD-40-004,36586,Active,Active
72be4b87-80b7-ea11-a812-000d3a530d85,6W9PrwsmV81y2IEYFaJ3Iet3aGRTKrhHsajm2/zsn7b+9eY17uWG2S7j+pzPUrHq32B0hhp3sDkK32fWaOnWgA==,6/26/2020 7:43,119,6/26/2020 13:13,Vishal Mohan,,6/26/2020,119,,"6.1) The organization shall ensure that its FSC-certified products conform to all applicable timber legality legislation. At a minimum, the organization shall:",13,,6.1,2,1,Vishal Mohan,,6/26/2020 13:13,Vishal Mohan,,FSC-STD-40-004,36586,Active,Active
9cbd4b87-80b7-ea11-a812-000d3a530d85,0VMSxOX16IpECO3d4N1LwoRjwzRtMF/HHBKQwFn0I3C+PgDzUthAlU0l+Zf8VLDMWRrZlIXIF113f/KYC58NPg==,6/26/2020 7:43,12,6/26/2020 13:13,Vishal Mohan,,6/26/2020,12,,"d) promote FSC-certified products, except finished and FSC-labelled products that may be promoted by non-certificate holders (e.g. retailers) in accordance with FSC-STD-50-002 Requirements for Promotional Use of the FSC Trademarks by Non-Certiﬁcate Holder",5,,Box 1,4,0,Vishal Mohan,,6/26/2020 13:13,Vishal Mohan,,FSC-STD-40-004,36586,Active,Active
74be4b87-80b7-ea11-a812-000d3a530d85,3Q14p8GtY6v6mzuTuVRWq3P6DZ5BfcsqkPRXbyQn4UU7XB7SJ9CeO472RrDnJgEfV7oyrsqTyhfJCdwt1aoevw==,6/26/2020 7:43,120,6/26/2020 13:13,Vishal Mohan,,6/26/2020,120,,6.1 a) have procedures in place to ensure the import and/or export of FSC-certified products by the organization conform to all applicable trade and customs laws[1]  (if the organization exports and/or imports FSC products);,13,,6.1 a,2,1,Vishal Mohan,,6/26/2020 13:13,Vishal Mohan,,FSC-STD-40-004,36586,Active,Active
76be4b87-80b7-ea11-a812-000d3a530d85,Pafj3gocEN8lZHjdK7N9dok8eGgK16yHCbzkzrqa3Rnxep9Cirnjy/VeVjngUY/fXhUeVSw8uowd0EM4uGfDKg==,6/26/2020 7:43,121,6/26/2020 13:13,Vishal Mohan,,6/26/2020,121,,"Trade and customs laws include, but may not be restricted to:
- Bans quotas and other restrictions on the export of timber product (e.g. bans on the export of unprocessed logs or rough-sawn lumber)
- Requirements for export licenses for timber and timber ",13,,Footnote 6.1 a ,2,1,Vishal Mohan,,6/26/2020 13:13,Vishal Mohan,,FSC-STD-40-004,36586,Active,Active
78be4b87-80b7-ea11-a812-000d3a530d85,q9kmajCj2YkaDAgv9X0E2G3koHeWJz9jcSeTM1YRa7dxUpoWFnu/xgGxVWPZ29dxWCwxzKPG+l4/ooFUiUcIbw==,6/26/2020 7:43,122,6/26/2020 13:13,Vishal Mohan,,6/26/2020,122,,"6.1 b) upon request, collect and provide information on species (common and scientific name) and country of harvest (or more specific location details if required by legislation) to direct customers and/or any FSC-certified organizations further down the ",13,,6.1 b ,2,1,Vishal Mohan,,6/26/2020 13:13,Vishal Mohan,,FSC-STD-40-004,36586,Active,Active
7abe4b87-80b7-ea11-a812-000d3a530d85,/StngK9PZo2jW4rGLMyGftGuJwG9YPjyrKm8Dv8BAKcYmKfOejxpePL0DBCpuCv6jzMMDPynZvpU/XtP5rPdvA==,6/26/2020 7:43,123,6/26/2020 13:13,Vishal Mohan,,6/26/2020,123,,"NOTE: If the organization does not possess the requested information on species and country of origin, the request shall be passed on to the upstream suppliers until the information can be obtained.",13,,NOTE below 6.1 b ,4,1,Vishal Mohan,,6/26/2020 13:13,Vishal Mohan,,FSC-STD-40-004,36586,Active,Active
7cbe4b87-80b7-ea11-a812-000d3a530d85,AIs908DdEJZMAucRsePA8zkoNMpCNfqgRdyiG7YxGjGnrCjYFGgQ6uHymxIwKdNM8DGePa7u4XL26YkrV87AmQ==,6/26/2020 7:43,124,6/26/2020 13:13,Vishal Mohan,,6/26/2020,124,,6.1 c) ensure that FSC-certified products containing pre-consumer reclaimed wood (except reclaimed paper) being sold to companies located in countries where timber legality legislation applies either:,13,,6.1 c,2,1,Vishal Mohan,,6/26/2020 13:13,Vishal Mohan,,FSC-STD-40-004,36586,Active,Active
7ebe4b87-80b7-ea11-a812-000d3a530d85,9rLjtpOyrQn0+Iwqo3YCit2Xfz22W03/JkRpd8nY/nY7nBaCoZzdpPLDnVtnXmK/C3teE3xVwUwttm/gkbhEkQ==,6/26/2020 7:43,125,6/26/2020 13:13,Vishal Mohan,,6/26/2020,125,,6.1 c) i.) only include pre-consumer reclaimed wood materials that conform to FSC Controlled Wood requirements in accordance with FSC-STD-40-005; or,13,,6.1 c i,2,1,Vishal Mohan,,6/26/2020 13:13,Vishal Mohan,,FSC-STD-40-004,36586,Active,Active
80be4b87-80b7-ea11-a812-000d3a530d85,TRFPvlihc1vl9BKyM141YvvvOv/AYWU0MFcTCy3RPXVbYwBvpYpPc8OuJfPoon02/n6qYv1VlGg55kH0YzfL7Q==,6/26/2020 7:43,126,6/26/2020 13:13,Vishal Mohan,,6/26/2020,126,,6.1 c) ii.) inform their customers about the presence of pre-consumer reclaimed wood in the product and support their due diligence system as required by applicable timber legality legislation.,13,,6.1 c ii,2,1,Vishal Mohan,,6/26/2020 13:13,Vishal Mohan,,FSC-STD-40-004,36586,Active,Active
82be4b87-80b7-ea11-a812-000d3a530d85,oAUQAF5PEiVrGVDUDsOHPWRr0ku+QMCYDxenfjPTnzpAmrdt4MAfnumLRc8e1u0cepfrJJ2sg2aR1EnI+w95+g==,6/26/2020 7:43,127,6/26/2020 13:13,Vishal Mohan,,6/26/2020,127,,NOTE: Organizations applying option c (i) above may apply the requirements for co-products outlined in FSC-STD-40-005.,13,,NOTE below 6.1 c ii,4,1,Vishal Mohan,,6/26/2020 13:13,Vishal Mohan,,FSC-STD-40-004,36586,Active,Active
84be4b87-80b7-ea11-a812-000d3a530d85,4XpVDTZsdsK0m2IGMjYorrG2yXCJ38Afp22cebvgI+29/q/qqGFl3qKGqrtdCsbu8QB1wES3n5j6cVrWLwHv2A==,6/26/2020 7:43,128,6/26/2020 13:13,Vishal Mohan,,6/26/2020,128,,Control of FSC Claims,14,,PART II ,6,0,Vishal Mohan,,6/26/2020 13:13,Vishal Mohan,,FSC-STD-40-004,36586,Active,Active
86be4b87-80b7-ea11-a812-000d3a530d85,ktxFO+O+RDgd9kgQjPxnzmYJ2nnX+bz5NWvsQzhZTihRE2CUHFJPx2hN8xhUy0BxY/p4bqcAtVmW5XgFqW60Qg==,6/26/2020 7:43,129,6/26/2020 13:13,Vishal Mohan,,6/26/2020,129,,7.1) The organization shall establish product groups for the purpose of controlling FSC output claims and labelling. Product groups shall be formed by one or more output products that:,14,,7.1,2,1,Vishal Mohan,,6/26/2020 13:13,Vishal Mohan,,FSC-STD-40-004,36586,Active,Active
9ebd4b87-80b7-ea11-a812-000d3a530d85,rctgEjhtZAhia3wvcRySzfbQ6jR1nFhO2ESjIdxv9W3G7XrnDraBUvsvcMjE5ErYJVzInrYio4XEWq6U+WGLJA==,6/26/2020 7:43,13,6/26/2020 13:13,Vishal Mohan,,6/26/2020,13,,NOTE: FSC claims are required in cases where subsequent customers want to use the FSC-certified products as input for the manufacturing of other certified products and/or for resale as FSC certified.,5,,Box 1 ,4,0,Vishal Mohan,,6/26/2020 13:13,Vishal Mohan,,FSC-STD-40-004,36586,Active,Active
88be4b87-80b7-ea11-a812-000d3a530d85,BX7IGiOj4HUwCAt5FWjLnrMGrdf+xC4blLwHyv4M2o1Fy1IdimJ6pFX7J3yfj3dPKQ9fc8VOwWmJ7soRQou0UA==,6/26/2020 7:43,130,6/26/2020 13:13,Vishal Mohan,,6/26/2020,130,,7.1 a) belong to the same product type in accordance with FSC-STD-40-004a; ,14,,7.1 a,2,1,Vishal Mohan,,6/26/2020 13:13,Vishal Mohan,,FSC-STD-40-004,36586,Active,Active
8abe4b87-80b7-ea11-a812-000d3a530d85,UKvPo178Zk72GN0O7k1bkfzURXp42VI3dRcQ4HFevhJhWfsVgUfAdjc4ZCDaNpZNAZUT+D9LZ/qq4nULK6DcPQ==,6/26/2020 7:43,131,6/26/2020 13:13,Vishal Mohan,,6/26/2020,131,,7.1 b) are controlled according to the same FSC control system. ,14,,7.1 b ,2,1,Vishal Mohan,,6/26/2020 13:13,Vishal Mohan,,FSC-STD-40-004,36586,Active,Active
8cbe4b87-80b7-ea11-a812-000d3a530d85,VKx6hzinarPPUj33niqW9dPZa5duS4ULbZWvRfH1nlMAS+XZ6yTKaouOf2mjplBj1toqa5RnZ1E4/5qiXDxdvQ==,6/26/2020 7:43,132,6/26/2020 13:13,Vishal Mohan,,6/26/2020,132,,7.2)The following additional conditions apply for the establishment of product groups under the percentage and/or credit system:,14,,7.2,3,1,Vishal Mohan,,6/26/2020 13:13,Vishal Mohan,,FSC-STD-40-004,36586,Active,Active
8ebe4b87-80b7-ea11-a812-000d3a530d85,bJkemiX7/Y8Jq6YNIH5fuy+yLa4XwTn6Y0UeCYE5DiT0uZU/Jwrr/TYXrYXMxhcj6+tDaNvzS05ah0V5CoIWGA==,6/26/2020 7:43,133,6/26/2020 13:13,Vishal Mohan,,6/26/2020,133,CB will need to check whether this information can be verified remotely,"7.2 a) all products shall have the same conversion factor. If not, they may still be grouped under the same product group, but the applicable conversion factors shall be applied to the corresponding products for the calculation of the amount of output pro",14,,7.2 a,3,1,Vishal Mohan,,6/26/2020 13:13,Vishal Mohan,,FSC-STD-40-004,36586,Active,Active
90be4b87-80b7-ea11-a812-000d3a530d85,4VfhPKEwVHUBG+JssVEn+b1Xxc7WjyT35+vv821NyL7POiCxCidOIg/bzLqGlmPn8CWpgNgcxec5YlTERRlDnA==,6/26/2020 7:43,134,6/26/2020 13:13,Vishal Mohan,,6/26/2020,134,CB will need to check whether this information can be verified remotely,"7.2 b ) all products shall be made of the same input material (e.g. pine lumber) or same combination of input materials (e.g. a product group of veneered particle boards, where all products are made of a combination of particle board and veneer of equival",14,,7.2 b,3,1,Vishal Mohan,,6/26/2020 13:13,Vishal Mohan,,FSC-STD-40-004,36586,Active,Active
92be4b87-80b7-ea11-a812-000d3a530d85,6MQTaDNyHPfi3vYmaSYd5q9VZ+8ysWbLhlkl+BNwTeSWib7+sKcT6YZnEV3a7FjQ+TqshxvvBtt9BKMaBY327A==,6/26/2020 7:43,135,6/26/2020 13:13,Vishal Mohan,,6/26/2020,135,CB will need to check whether this information can be verified remotely,NOTE: An input material and/or species of wood of a product group may be substituted by another material and/or species provided that they are equivalent. Variations of material or product dimension or shape are accepted within the same product group. Dif,14,,NOTE below 7.2 b,4,1,Vishal Mohan,,6/26/2020 13:13,Vishal Mohan,,FSC-STD-40-004,36586,Active,Active
94be4b87-80b7-ea11-a812-000d3a530d85,qCAI85y0U7mSni/hliT9ttH1w69BYUIXcQfyN20/nTmSUTZj4TAxNJheP/mz2qWgpDGIqwfrAWy6HfzjcoWASQ==,6/26/2020 7:43,136,6/26/2020 13:13,Vishal Mohan,,6/26/2020,136,,Substitution of input materials within a product group,14,,Heading box 4,6,0,Vishal Mohan,,6/26/2020 13:13,Vishal Mohan,,FSC-STD-40-004,36586,Active,Active
96be4b87-80b7-ea11-a812-000d3a530d85,Hp4cXgDq8wJgwVmP1aKXA/b5T35egzNIqOZtf4RBujKtstzD2LsJevZECLiQJkmj+THcCBgdT87xvMsbKTzFuw==,6/26/2020 7:43,137,6/26/2020 13:13,Vishal Mohan,,6/26/2020,137,CB will need to check whether this information can be verified remotely,Materials and/or species can be considered as being equivalent if they can be substituted without changing the output product characteristics. The following indicators are considered as a change of product characteristics at the output side:,14,,Box 4,4,1,Vishal Mohan,,6/26/2020 13:13,Vishal Mohan,,FSC-STD-40-004,36586,Active,Active
98be4b87-80b7-ea11-a812-000d3a530d85,C/jjK8aJ8vdmfNgCn43TiYN/EZeKhZJFC2aHmTUGzAYIFRXy8/0AlMCtpGHwJsg3MH6EbRVrjIYgH/zIOiU4Rw==,6/26/2020 7:43,138,6/26/2020 13:13,Vishal Mohan,,6/26/2020,138,,change of the product type (in accordance with FSC-STD-40-004a); or ,14,,Box 4 a,4,1,Vishal Mohan,,6/26/2020 13:13,Vishal Mohan,,FSC-STD-40-004,36586,Active,Active
9abe4b87-80b7-ea11-a812-000d3a530d85,p/BYlaBhDhccPPfXyaKfx4LSacJbVHcOxhx1iFgPHyZHcsTj8ZFDVUjYhsYaW06QdL8zPcgrTnrzfTA6lM82AA==,6/26/2020 7:43,139,6/26/2020 13:13,Vishal Mohan,,6/26/2020,139,CB will need to check whether this information can be verified remotely,change in the product function; or,14,,Box 4 b,4,1,Vishal Mohan,,6/26/2020 13:13,Vishal Mohan,,FSC-STD-40-004,36586,Active,Active
a0bd4b87-80b7-ea11-a812-000d3a530d85,yHSr83h9PVafbxZVZBqlcQX4Wsd7gmnhUx7kOhoyvRF5H6f9D8eOotCdzgOoXhf/oqQU10DulOUdwtdKYsmQ4A==,6/26/2020 7:43,14,6/26/2020 13:13,Vishal Mohan,,6/26/2020,14,,"CoC certification is not required for organizations providing services to certified organizations without taking legal ownership of the certified products, including:",5,,Box 1,4,0,Vishal Mohan,,6/26/2020 13:13,Vishal Mohan,,FSC-STD-40-004,36586,Active,Active
9cbe4b87-80b7-ea11-a812-000d3a530d85,p4xyVCDWhClbSKDFwhSDJODiZosj0J+RehwmgLXY4AUokS3/pnfQXW69rInBXmiTJ6DA3a02giY1XKmE1uVvAQ==,6/26/2020 7:43,140,6/26/2020 13:13,Vishal Mohan,,6/26/2020,140,,"increase of the product price (price should not be used as a single indicator due to possible variations caused, for example, by market demand, price negotiations, or volumes purchased or sold; however, it can be used in combination with other indicators ",14,,Box 4 c,4,1,Vishal Mohan,,6/26/2020 13:13,Vishal Mohan,,FSC-STD-40-004,36586,Active,Active
9ebe4b87-80b7-ea11-a812-000d3a530d85,jpQtRfndHiH31w8v3md4aFAG8DPmYVQRLlMsW2expNqvMVxGwmLNVUJ6n0zVoIDkihvbFLN1byzTKGtwQ9Iu8g==,6/26/2020 7:43,141,6/26/2020 13:13,Vishal Mohan,,6/26/2020,141,CB will need to check whether this information can be verified remotely,increase of the product grade; or,14,,Box 4 d,4,1,Vishal Mohan,,6/26/2020 13:13,Vishal Mohan,,FSC-STD-40-004,36586,Active,Active
a0be4b87-80b7-ea11-a812-000d3a530d85,cE3pWfb7g0aOq3p2R7fyY7GsP4lRYaFgZaw2qs0wL4E3YawZiU9Eo1/aBEwHL4SrtpMoqnol73GUcIk7hJ3Z0g==,6/26/2020 7:43,142,6/26/2020 13:13,Vishal Mohan,,6/26/2020,142,CB will need to check whether this information can be verified remotely,"change of the product appearance (the appearance is determined by the intrinsic material properties. Printing, painting, and other finishing processes are not applicable in this case).",14,,Box 4 e,4,1,Vishal Mohan,,6/26/2020 13:13,Vishal Mohan,,FSC-STD-40-004,36586,Active,Active
